"Species ","Phase","T","Cp¡","S¡","(Gt¡-H¡tr)/T","Ht¡-H¡tr","_H¡f,e","_G¡f,e","log K¡f,e","_H¡f, ox","_G¡f, ox","log K¡f, ox","Hfe298"
"O2","Gas",1050,34.985,245.227,-221.936,24455,0,0,0,"NA","NA","NA",0
"O2","Gas",1300,35.96,252.806,-227.167,33331,0,0,0,"NA","NA","NA",0
"O2","Gas",1750,36.88,263.649,-235.217,49757,0,0,0,"NA","NA","NA",0
"SiO2","alpha",300,44.928,41.737,-41.461,83,-910707,-855984,149.04,0,0,0,-910699
"SiO2","alpha",550,62.16,74.204,-49.314,13690,-910329,-810325,76.958,0,0,0,-910699
"SiO2","alpha",800,73.321,99.555,-61.192,30691,-907730,-765315,49.97,0,0,0,-910699
"SiO2","beta",1050,69.454,119.365,-72.877,48812,-904745,-721354,35.885,0,0,0,-910699
"SiO2","beta",1300,71.965,134.457,-83.311,66490,-902713,-677910,27.239,0,0,0,-910699
"SiO2","beta",1750,76.483,156.487,-99.407,99890,-948683,-598799,17.873,0,0,0,-910699
"Si","Crystal",300,19.999,18.934,-18.81,37,0,0,0,"NA","NA","NA",0
"Si","Crystal",550,23.97,32.365,-22.136,5626,0,0,0,"NA","NA","NA",0
"Si","Crystal",800,25.659,41.675,-26.861,11851,0,0,0,"NA","NA","NA",0
"Si","Crystal",1050,26.693,48.796,-31.269,18403,0,0,0,"NA","NA","NA",0
"Si","Crystal",1685,28.285,61.804,-40.494,35908,0,0,0,"NA","NA","NA",0
"Si","Liquid",1685,25.522,92.031,-40.948,86841,0,0,0,"NA","NA","NA",0
"Si","Liquid",1800,25.522,93.49,-43.827,89394,0,0,0,"NA","NA","NA",0
"Ca","alpha",300,25.341,41.773,-41.617,47,0,0,0,"NA","NA","NA",0
"Ca","alpha",600,29.558,60.385,-46.763,8173,0,0,0,"NA","NA","NA",0
"Ca","alpha",720,32.351,66.013,-49.51,11882,0,0,0,"NA","NA","NA",0
"Ca","beta",720,29.341,67.289,-49.51,12801,0,0,0,"NA","NA","NA",0
"Ca","beta",900,36.776,74.635,-53.8,18752,0,0,0,"NA","NA","NA",0
"Ca","beta",1112,45.524,83.307,-58.598,27476,0,0,0,"NA","NA","NA",0
"Ca","Liquid",1112,29.275,90.968,-58.598,35995,0,0,0,"NA","NA","NA",0
"Ca","Liquid",1755,29.275,104.327,-73.091,54819,0,0,0,"NA","NA","NA",0
"Ca","Gas",1755,20.851,191.628,-73.091,208032,0,0,0,"NA","NA","NA",0
